pl_name,pl_masse,pl_rade,pl_orbper,pl_eqt,sy_dist,discoverymethod,disc_year,hostname
Kepler-718 b,,13.38,2.052349905,1495.0,1302.33,Transit,2016,Kepler-718
Kepler-1668 b,,4.3,15.43400996,721.0,1335.64,Transit,2020,Kepler-1668
Kepler-289 b,,2.67,34.5439452,607.0,704.438,Transit,2014,Kepler-289
Kepler-46 d,,,6.76652928,,777.06,Transit,2014,Kepler-46
Kepler-1772 b,,2.69,3.215106337,1779.0,871.564,Transit,2021,Kepler-1772
Kepler-511 c,,3.68,26.62946276,,651.999,Transit,2021,Kepler-511
Kepler-684 b,,3.36,6.770302008,,1731.27,Transit,2016,Kepler-684
Kepler-127 b,,,14.4360263586,,352.794,Transit,2014,Kepler-127
Kepler-393 b,,1.29,9.182417,,881.404,Transit,2014,Kepler-393
Kepler-447 b,,6.2,7.7942995,880.0,268.041,Transit,2015,Kepler-447
KMT-2018-BLG-1976L b,705.57906354,,,,5840.0,Microlensing,2021,KMT-2018-BLG-1976L
Kepler-586 b,,,2.104721971,,693.766,Transit,2016,Kepler-586
Kepler-202 b,,1.53,4.069425638,802.0,285.111,Transit,2014,Kepler-202
Kepler-42 b,,0.962,,,40.0595,Transit,2011,Kepler-42
Kepler-1499 b,,1.187,,,309.869,Transit,2016,Kepler-1499
HD 63454 b,,12.31,2.818049,,37.6894,Radial Velocity,2005,HD 63454
Kepler-908 b,,1.07,1.340597468,1692.0,290.843,Transit,2016,Kepler-908
Kepler-397 c,,,135.4978256,,,Transit,2014,Kepler-397
Kepler-60 d,,1.76,11.8984932,1013.0,1025.1,Transit,2012,Kepler-60
61 Vir c,,,38.0957,,8.50332,Radial Velocity,2009,61 Vir
Kepler-546 b,,,4.147021189,,1019.65,Transit,2016,Kepler-546
Kepler-116 b,,3.43,5.968717469,,955.168,Transit,2014,Kepler-116
TOI-654.01,,2.37126,1.5275657,748.54,57.7553,Transit,2024,TOI-654
55 Cnc f,,,260.7,,12.5855,Radial Velocity,2007,55 Cnc
WASP-133 b,368.6828,13.56289,2.176423,1790.0,559.084,Transit,2016,WASP-133
Kepler-68 b,8.3,2.31,5.398763,1280.0,144.166,Transit,2013,Kepler-68
Kepler-181 b,,1.371,3.137848829,,609.283,Transit,2014,Kepler-181
KELT-15 b,416.3573,19.50366,3.32944,,324.683,Transit,2016,KELT-15
Kepler-188 b,,1.84,2.06187,1571.0,968.544,Transit,2014,Kepler-188
K2-230 b,,1.93420564,2.860636,,540.773,Transit,2018,K2-230
Kepler-1077 b,,2.64,34.3511874,576.0,1101.42,Transit,2016,Kepler-1077
